# Table shared by Toshiya through private communication
# name band bandwidth beam P_sens
LFT_1   40  12  70.5  37.42
LFT_2   50  15  58.5  33.46
LFT_3   60  14  51.1  21.31
LFT_4_1 68  16  41.6  19.91
LFT_4_2 68  16  47.1  31.77
LFT_5_1 78  18  36.9  15.55
LFT_5_2 78  18  43.8  19.13
LFT_6_1 89  20  33.0  12.28
LFT_6_2 89  20  41.5  28.77
LFT_7   100 23  20.2  10.34
LFT_8   119 36  26.3  7.69
LFT_9   140 42  23.7  7.25
MFT_7   100 23  37.8  8.48
MFT_8   119 36  33.6  5.70
MFT_9   140 42  30.8  6.38
MFT_10  166 50  28.9  5.57
MFT_11  195 59  28.0  7.05
HFT_11  195 59  28.6  10.50
HFT_12  235 71  24.7  10.79
HFT_13  280 84  22.5  13.80
HFT_14  337 101 20.9  21.95
HFT_15  402 92  17.9  47.45
